story_name,fool_hero_mean,fool_hero_std,angel_demon_mean,angel_demon_std,trad_adventurer_mean,trad_adventurer_std,lone_wolf_diva_mean,lone_wolf_diva_std,outcast_soph_mean,outcast_soph_std,brute_geek_mean,brute_geek_std,cast_size,is_comedy
(500) Days of Summer,8.353373415640364,12.346157369397867,-7.509349050768907,6.439073542939709,13.16195712293275,19.00288098364416,11.691622614197332,9.962875207278708,-11.954536497713885,21.885570849551932,8.717333038616527,2.582245784638553,2,1
10 Things I Hate About You,14.097582532966916,23.374889335864772,9.354443332981768,31.610384009703655,8.895334694708664,24.075384373736355,11.150856063928506,27.514599080621778,-5.885553097320472,12.538667858249209,-5.884581935224799,16.21688469214391,6,1
8 Mile,33.487735462341064,0.0,18.47490591675716,0.0,23.60083732442089,0.0,-23.653452359593626,0.0,-15.241621563419326,0.0,4.840814393262794,0.0,1,0
A Series of Unfortunate Events,37.29482311670743,31.800358336759086,3.6325742812084107,54.00109541890939,-2.139105246490822,13.041584279132048,2.745035066150971,4.849898047583109,-10.481051630400533,8.611980632679488,16.12479461825437,5.170841059079737,3,1
A Star Is Born,16.50486260499383,13.921005668530704,1.2352285695889869,21.970245897741588,27.31898668242121,3.9203313037578464,-7.98163005222133,5.684261029081769,-11.096272216190354,7.850583117166894,3.498289545219314,5.7569212186514855,2,0
A Tale of Two Cities,18.615762286242376,8.311954523130515,-14.708406745736811,18.432612086287342,4.068556137194336,7.534016484094424,8.898923977492847,15.761971726992694,-6.054668081476343,8.89117906430702,0.8121014587604053,8.296672613136144,3,0
Adventures of Huckleberry Finn,15.375273543103987,11.681077824896235,-16.05113071201273,25.750792959660487,27.39895483549786,23.514572637531188,-18.9806833155775,1.592710610306133,-16.836856383874817,1.9549772980702835,-8.795054859505319,1.3532830460706258,2,0
After Life,7.566367094970708,21.943679434818534,-19.47202211258478,24.866010596763008,3.883099611852984,24.525165994452543,2.1099451264559,16.542883884255556,-16.025053453918094,14.33354773455817,-5.345591175253702,6.43929559987008,6,0
American History X,29.918793715122717,24.319801983546895,11.165173207723418,24.12903381441237,1.7269659592267128,12.926091477064384,-8.80840719982384,6.0977993947512985,-13.106641741400518,13.567235712480029,-4.983756027430618,3.5202364907708668,3,0
American Sniper,37.70098531845445,13.61001895958852,-12.409727334787984,12.688326212577483,-4.852652244793939,1.7661814359141184,-3.7006580929564663,17.084509263179797,-8.313823802505606,0.25067583597504406,-15.86935833925938,5.243489888629577,2,0
Amélie,12.682456387062858,6.839960550600735,-28.906784519838148,0.3719411019282308,26.535382116440914,13.497233729449137,1.194649408557725,0.2952806321346652,-16.437236836401357,3.687478041130132,20.78611521327202,6.928463533396746,2,1
Annie Hall,4.9233276005030735,5.899221948568335,-0.48260988658810255,21.142136761040447,15.499160705612002,28.917292176167596,17.1058933879406,7.976405370773751,-16.989121403987777,16.865838070651296,16.43405599936535,5.12543660779451,2,1
Archer,12.68632618150528,31.705274987225657,35.253540151744986,28.726040922533812,17.998802881325833,38.17337704106931,14.567551484504458,16.95969010754386,-3.5228632786822645,17.17800408001819,-6.006023542351805,7.315518372892554,6,0
Atlas Shrugged,38.42972158775379,33.05153892912559,19.206785119240166,6.006903002784324,0.5422504828206455,14.70518377262488,2.664643787610817,14.639996177688516,4.83777771298989,9.081082747513546,0.9317631898264596,8.485255195863047,6,0
Baby Driver,31.23608874243999,10.711773718114854,-7.314949091407332,35.56556899625182,3.895063136106881,29.241751898847095,-1.4228440204535815,11.216287192734757,-4.0367116898855295,10.817048191777166,6.063216456401985,8.380904354899036,3,0
Back to the Future,21.60550939428001,7.710660454998491,-13.017197316069302,16.962432655805,27.443885536898332,17.95300169563202,4.560204073837783,13.059643910166702,-6.21248627529384,8.003519261924916,2.690764477111959,17.961951272899626,3,1
Bad Boys,25.764675180729768,13.297870701797995,2.8685305899218525,13.100941507562585,23.596602014132742,14.025597792519456,4.841121016600581,5.197697537710918,0.9595670717361129,15.531342247073418,-15.837964770911753,3.182043714368792,2,1
Band of Brothers,33.8161038207384,20.286093357386196,-21.29494401303792,13.517557279197522,1.6119267904586259,16.440605213092546,-9.539371307742924,5.405860099706757,-6.071617163337037,8.152208342253468,-13.292392977680974,6.3163321993650525,6,0
Battlestar Galactica,33.77940431124577,20.24078408777198,1.3031525477389825,29.01113047337548,-0.09653054214637274,20.641613609284892,1.7063249673185534,16.848324539696172,-10.362987817957016,14.919545957157641,-5.97247698588176,16.975858767856785,15,0
Before Sunrise,24.153850255784775,11.525972542425995,-19.15998100602994,6.497029410066177,33.78378835273044,6.000187406039817,2.4008205447693136,1.2619345688188128,-0.7934267426082144,4.095265883706511,9.117726881363817,7.373318342678958,2,1
Better Call Saul,37.561227001852366,17.499367011807664,15.222128897448428,16.53587616650867,-9.65276928544105,30.765571670875982,2.92568762497582,24.828435266816644,-5.300203163487335,10.339173186867152,-2.186726740089066,9.490291053248766,6,0
Black Swan,22.31545446807407,3.1243336662831243,25.973005384571525,26.489383528363707,4.390368733705935,26.65434190752438,12.327519852711646,14.907305677623386,-1.5037023675761658,17.45416510437894,7.071557311649279,7.497230190378259,3,0
Bloodline,10.968750392204322,23.627675254942744,15.130294091062579,18.642751738977093,-0.19311681668944894,12.280538182699626,2.4250399395606745,11.051820067363076,-16.624555011504984,13.028172804416544,-5.884095109919703,6.069867242188306,6,0
Blue Bloods,51.4850454912509,11.038020221896069,-16.025192488061876,19.531631108331435,-4.667183662602896,10.839449220243209,1.469820291106724,8.455740334233596,2.752040030146565,9.552858271532992,-15.87238632028649,7.416175958094982,6,0
Bob's Burgers,0.8528343030834826,16.882457757677763,0.47599411350493026,25.092390442352023,31.489811824095444,28.353756264130975,1.8898298508974658,10.141356207902803,-16.571939350390927,15.273251101039872,4.211120735402656,11.535881005219883,5,1
Bones,46.16325348284457,18.073841504811746,-10.252725598627398,13.298005452203158,13.112654019016599,30.03447848634942,2.209050527081357,4.783434929457486,1.6898749376656916,11.225815631298271,0.0475053276893707,20.286201449762867,5,0
Booksmart,33.82773812997574,9.604735176058774,-16.309323039971908,17.943273449636134,-3.2984337744482444,2.375530024976798,14.101572322698711,9.532654978555062,-14.471832188098313,4.8876585063093305,12.988166268295204,8.58026330061898,2,1
Boston Legal,40.005971725599814,23.2232069778217,24.015752197847803,16.375511400612133,21.45457151202122,23.905642266246975,10.901776721493926,1.7008584248604028,11.710914918356844,4.194254971548902,-2.6886322341606976,13.093030633476031,3,1
Breakfast at Tiffany's,21.06419674721647,5.782041282205022,-3.5826831554425196,12.196313233445913,15.476935725206824,33.68727610218532,16.170536228122973,4.114044144879512,3.349924251226435,8.435341893593952,0.22555726321032843,9.560036086071143,2,1
Breaking Bad,23.17741359367634,24.20046539670212,16.8127970130576,17.7908389247613,0.04832066447868755,25.171050861184526,0.7939478358802164,18.7421878408915,-12.680092089322153,11.966928157055172,-0.9435830542299669,17.01302176758914,10,0
Broad City,10.353409239724,12.120727746552635,-14.676237391357121,31.542396578690894,31.906635425314334,39.188368325935514,1.536203903876111,7.738795227883908,-6.525081267862817,14.516909091274501,3.4334519787269904,3.9789862823607414,3,1
Brokeback Mountain,15.963749039281073,2.5527031167426157,-5.47235253664178,3.5951066720107296,8.022222981526749,31.0221687692702,-10.458305889736511,10.354823030937439,-20.79505625545497,8.742730309970913,-8.77706472984206,4.932182159983693,2,0
Brooklyn Nine-Nine,35.249247762737504,30.175896082272867,-16.227063989226732,27.55180044421484,10.695739883135161,34.78565855569746,7.582328198369237,23.945064818104946,-5.480861326511737,10.496548540696535,-4.0476405357748275,7.702978045708711,6,1
Buffy the Vampire Slayer,29.921622291555867,26.797396461995646,-3.5626795872411434,26.113819428857727,12.034652381550453,22.05844363813445,6.916972337379755,15.817690661093485,-10.113753045159031,15.094690810317005,-0.16566206972042904,16.983855986210532,6,1
CSI: Crime Scene Investigation,34.20633229563298,13.292384233418492,-14.78856913369656,11.049389543224313,-3.405153512251044,18.578052608347566,-0.8906685935788751,5.491456580385138,-6.541807942172632,7.6964065687240115,-3.806153599607883,13.652538728512893,6,0
Casablanca,41.15540706327413,7.516379029030986,-6.614580907511718,15.760315527052407,5.443840129391318,4.948150247242969,2.3174305945323845,14.936374154559912,3.9026480748256986,4.2622069379957885,0.7499249520936706,3.4651550444909356,3,0
Castle,37.36487862791011,18.066953281405684,-14.078413524626734,18.15139133449595,23.56274417393023,26.127928892251603,10.905410561897574,11.205468919741763,6.246702228897564,9.928021401433137,-6.567424216771955,11.816576013981349,6,0
Catch Me If You Can,41.076198269797814,9.177429241955403,5.642219107349718,20.13847877942306,8.284889286437021,41.779363578253914,7.504245636372238,1.900040416777483,2.46931713457972,15.661565921887172,0.8337284138087746,11.469653084370307,2,0
Chicago Fire,30.748346662353942,21.035123910645822,-14.255368288734616,12.755276367939102,4.635380038225807,16.358075027030875,-6.1827288477039595,6.082598794616342,-6.405569861832632,7.901567906855116,-17.08398102875211,1.5064467825787877,6,0
Chilling Adventures of Sabrina,27.120507962972034,20.294294638743754,8.818863572601893,40.873891610503875,8.173623983043655,23.308296171595657,8.14092836095983,5.9639757368122845,-3.787153510623162,12.735935472569532,5.927026328903589,9.502107288156443,10,0
Cobra Kai,22.89330242131405,10.955607497745579,-1.58144088484318,25.91446886231278,11.558392215247414,8.340405723086596,5.799531455126522,17.76959987276351,-6.469570642330869,14.62751901820795,-11.218546830076953,4.972829892959777,6,0
Coco,17.311411644503288,21.108561569250504,-8.191724238983957,43.51830701060027,21.24164132085936,25.767634748311227,3.7754865796095487,13.565939831639046,-4.337483537819533,11.685144777935449,-4.46905282114223,6.3952590345280065,5,1
Crazy Ex-Girlfriend,9.969997892684603,23.970474238914584,2.6394657172630343,28.017828180351803,28.699182366159704,10.54954090549408,13.801448398033395,22.74250740682181,-5.581613545750035,14.375723612130804,-3.007679214999316,17.796846213038176,6,1
Crazy Rich Asians,34.74088500311097,18.14547192672506,-14.46082515601505,26.59740349927353,15.431000865009345,34.95170811607851,11.008984789279621,7.760110930978746,12.537372187470224,7.597483601694267,-2.1137518783828315,7.00417729340572,6,1
"Crouching Tiger, Hidden Dragon",50.73766479884764,15.034179435480919,-4.588962950721123,29.756550853236146,-0.15283550717343886,19.095309226773733,-10.083794571393122,7.050248830314521,1.6879714316783623,7.345516399596159,-0.04706615440560628,4.865630878406739,3,0
Ctrl+Alt+Del,6.253377802022153,16.454930774170684,1.2496280276591574,24.258719714073024,-0.34272196896141677,20.347722243502194,5.624703186500455,4.252981295455221,-13.700852540066577,5.342450424785313,-2.5095387967192058,6.71068203825381,3,0
Damages,41.62864492851579,14.013140666086109,12.539436994065047,25.336419995985736,-13.953022477833983,5.1704734280808635,12.832778225542,2.781936640172311,-0.6110573354034274,8.46218888572351,5.390380711722717,4.4074915646625215,3,0
Death Note,19.913126507366293,21.676814805117335,-0.22881890918569708,31.603399296651094,-5.686815397010622,28.16827166766714,3.8718215842355916,13.702673250646296,-7.300691754540142,11.653750600393911,2.328327335503416,18.08221400273212,10,0
Degrassi: The Next Generation,15.371293860404979,18.076527698530693,-1.7525935299984146,17.292477588239294,10.492014417692507,30.240758062530347,16.65881349825083,13.537950215892357,-7.129836706800918,12.396884485213723,-4.086609149642854,12.04906042054838,10,0
Desperate Housewives,20.447317633411977,21.319524524503784,6.572568020428432,26.961223738845842,7.649177641927457,21.61394054112613,12.288718983032705,15.425603559905774,-4.041097563174541,13.4478928252608,-9.897032063499676,9.44140943351951,10,0
Dexter,30.971322801347732,19.57086183053196,8.106207857754928,28.2345439458151,-1.5905825518920627,22.92202283651114,3.3830777526574827,10.725011198187895,-9.21215503135137,7.834717042453248,-9.1422547491504,14.95944514884608,10,0
Dirty Dancing,27.57132844687884,8.001022376781325,-10.856332237739256,23.492468552650486,23.204408409552183,0.9380982052700482,1.1678113264158512,21.35069861681244,-4.88618484348513,1.5375068912540504,-6.325310342274025,8.253290386302258,2,0
Divergent,35.55567032505669,20.340599040239493,6.0060923151187104,6.965838365773504,-7.86719070777963,26.47736139072057,-4.270037118377811,21.174610569941287,-14.04176670518847,3.6209570980820946,1.7442097207419431,4.513779713679125,3,0
Don Quixote,2.269735506771501,9.324753548098524,-7.952070331615859,23.985250546437257,18.381169841843693,26.179342195256947,-0.8810625839231081,7.721823508288328,-20.348377961762445,5.638028313372924,-8.656866791146005,9.452587541806999,2,0
Downton Abbey,34.849923438042715,20.415880744704005,-10.558075374927904,35.67694501066643,-4.623709452571876,23.642835962079435,7.250522079613959,11.539006715369663,-5.764713512340112,16.437041160896037,-8.191037533294041,13.522589977075455,15,0
Dr. Horrible's Sing-Along Blog,14.764783351888829,11.887245595317875,4.023279424685005,52.04946104483269,15.90844882647221,5.637102495603995,17.174003723260398,5.988085715958464,-7.7177766855308585,18.129454048391317,-4.1047865760693245,35.91960235968058,3,1
Elizabethtown,16.821438455896946,0.4124004946002078,-12.051076853761142,3.406098485007983,20.85983616063619,40.54622644328519,8.09336910854727,8.977159582441862,-9.71534839360388,10.32613529597966,5.70537834978232,0.9584059987615583,2,1
Emily in Paris,17.702452844191125,17.07268246594912,1.0933468380463542,18.881598861388905,24.195710698752382,20.39492553408215,18.298059083930053,12.093659609884577,4.698017250095873,8.745546480751814,-1.4077906800694144,6.731182256186162,6,0
Entourage,10.39868397286725,24.028319025621595,8.287942407189922,31.238050337802914,23.340498375947565,21.88818478543874,14.86761980079238,7.19952633927584,-5.557548086511983,17.86433122686754,-12.167118981060312,5.0233714304621495,5,0
Eternal Sunshine of the Spotless Mind,4.278647357200263,4.057528633381757,-2.9246393244904407,18.07217305513919,15.03576716169576,31.05517730886633,6.737656183903083,11.586007929790725,-19.8939402915284,13.22509858741718,11.426264144840287,7.611596117616857,3,0
Fahrenheit 451,6.694354169706133,22.42117409499826,1.2710781493803864,10.177422288065282,3.2507996713983283,29.74874275216876,6.814073503136961,15.410031186665426,-14.518479287041012,9.922615323676492,5.591064749182661,12.389456911826457,3,0
Farscape,29.80881129272809,24.253642838811793,29.977175944556652,22.217202479158153,13.163497704043635,31.54346385883556,-1.9806889817073723,18.02912433128232,-8.96065340167712,6.239052145916022,-4.502860255302786,17.71335269708941,6,0
Ferris Bueller's Day Off,17.416870941806934,4.558384084892072,-10.542551360390883,19.736342741469986,22.977262001430432,45.61387864721106,10.286659609744914,5.195067921716081,4.653709925151653,27.283945117450074,0.9991558679837663,5.16345069591674,3,1
Fifty Shades of Grey,30.172868033395957,17.970332951607386,0.690515163955105,38.96447436322236,2.3335469784145038,6.513087703013653,14.979282232752238,4.114925002679721,-5.155821879505442,10.14335362472682,3.083845959042952,1.269144855370276,2,0
Fight Club,6.443052883661125,13.396820014581566,32.979814666346826,21.10038361284188,19.92192162256654,34.83574721956336,-6.242163699814204,11.612138576100303,-14.454125972349848,19.435398622431414,11.968161969480121,5.78017797221311,3,0
Finding Nemo,5.314692161448519,18.225001741805986,-17.39013597163191,11.08347710667226,25.22026947063523,41.887951693116136,9.922088313092035,4.1993565298031355,-21.925084264029852,9.078255769254037,-1.0687473754687506,7.319353271772988,3,1
Fleabag,17.540675360517803,17.310470444776243,28.296656934922627,18.37762150505512,7.488741547776854,39.480216136506385,16.73620391359884,16.021116704818013,-8.32900211927431,11.233748573129237,6.495006651129079,6.989809844243158,3,1
Forrest Gump,6.85604307191088,9.997515019987258,-2.0528498047707373,37.83363356036508,26.130529631212042,9.835727660655216,-8.6759148190101,9.287704551935255,-15.503549056549053,3.788429179882109,-3.11540229057834,8.291175921864056,3,0
Friday Night Lights,24.654404816494043,17.57604574815001,-8.976149528716094,28.033147408598076,12.481491081928173,17.16753996910738,3.5022004687391606,19.824073517907433,-6.455980663161678,14.61563476919661,-14.728533243611366,10.095839135183233,10,0
Friends,8.471740433322024,21.673873381929504,-4.772610251800403,5.8357659798255925,25.529379141003773,36.63047318365391,18.858177970469892,17.038335161977155,-7.985580172394393,13.797939521546018,-6.225823411846566,13.147012723001746,6,0
Frozen,13.248979835658663,19.647697563083117,-11.130284599827124,40.87085493911216,23.85851261167175,30.56314268561653,7.146377177573538,14.860890338012702,-7.04080236377438,8.518747279484407,-2.024523425968158,11.874770691393273,5,0
Game of Thrones,31.146336874028023,20.600357823136914,14.096105453840998,32.82090600410065,3.1911020823212213,21.322604556365018,-2.7648396037949343,18.154574830052447,-5.350801508770661,15.77247289487547,-0.834919707255587,15.063982282911322,30,0
Ghostbusters,15.94542286725165,21.767169538431688,-10.23106830161212,18.323703001356176,3.9966917506956703,20.154168345232875,6.975000327222641,8.813953656967355,-15.3688791011104,14.818083437883589,5.56923768261011,10.289526521772132,5,1
Gilmore Girls,23.816151228890416,19.692275758665605,1.8588200279935023,23.77898005540878,7.735797910289479,31.685896218673637,13.941738822782417,17.11314222955735,-6.929819397211745,16.472563360327257,-4.457347892280199,12.007354374593692,15,0
Girls,5.800110751360671,12.217978250719801,18.538139847463427,22.610923861827814,12.898951208425983,27.077209717843004,14.624660136166154,27.394047292129546,-15.882090857694058,11.88687618542936,3.8720249806186473,8.137234818874758,6,1
Gladiator,30.07680418721975,28.93890495264754,18.075448623084995,34.49302717288645,1.1644244568042736,6.675403036330823,6.26379249474929,25.774987853846262,-4.574734191275907,8.47632185931984,-2.854178146927307,11.602011986446179,3,0
Glee,14.157622270157594,20.80572120832554,-2.6585036102510626,34.75912910111343,17.03970844501932,20.586355997825553,16.51954434959138,18.36555079077185,-3.8949422082369094,13.65313805220814,-2.6902952613776874,13.387808946530974,15,1
Gone Girl,16.645563991906076,27.01157498744082,21.67067983393179,21.40805236255391,-6.477038761001943,8.7643457228556,1.9225906034907148,9.064596412155831,-11.534944756111662,15.974683748918581,5.526104599341138,16.402361716745652,3,0
Gone With the Wind,23.021832132602523,15.949718879384887,-1.8118114783208992,40.62043127561151,-1.7871350941290067,26.33940553963806,12.625731915798616,14.589134077630074,-1.3820298506241295,12.860559751364063,-11.096976231007813,7.638543871277451,6,0
Good Will Hunting,35.733279846051296,6.834910925230631,-18.802825399016218,25.81430881320763,18.89624733698491,4.195492844283579,-6.058946908295547,15.823161183463627,-6.859158945506828,12.378077556503923,6.916659749844476,5.155662479089596,3,0
Gossip Girl,17.42749061197165,17.20772866468314,11.285616032588687,29.939534538680018,9.450297065126842,15.775018009733273,13.668678855703874,13.002991573149218,-3.9763355835753984,17.723398902129766,-0.08844043062167355,9.952493419986745,10,0
